Negative,Positive
abysmal,absolutely
adverse,accepted
alarming,acclaimed
angry,accomplish
annoy,accomplishment
anxious,achievement
apathy,action
appalling,active
atrocious,admire
awful,adorable
bad,adventure
banal,affirmative
barbed,affluent
belligerent,agree
bemoan,agreeable
beneath,amazing
boring,angelic
broken,appealing
callous,approve
can't,aptitude
clumsy,attractive
coarse,awesome
cold,beaming
cold-hearted,beautiful
collapse,believe
confused,beneficial
contradictory,bliss
contrary,bountiful
corrosive,bounty
corrupt,brave
crazy,bravo
creepy,brilliant
criminal,bubbly
cruel,calm
cry,celebrated
cutting,certain
damage,champ
damaging,champion
dastardly,charming
dead,cheery
decaying,choice
deformed,classic
deny,classical
deplorable,clean
depressed,commend
deprived,composed
despicable,congratulation
detrimental,constant
dirty,cool
disease,courageous
disgusting,creative
disheveled,cute
dishonest,dazzling
dishonorable,delight
dismal,delightful
distress,distinguished
don't,divine
dreadful,earnest
dreary,easy
enraged,ecstatic
eroding,effective
evil,effervescent
fail,efficient
faulty,effortless
fear,electrifying
feeble,elegant
fight,enchanting
filthy,encouraging
foul,endorsed
frighten,energetic
frightful,energized
gawky,engaging
ghastly,enthusiastic
grave,essential
greed,esteemed
grim,ethical
grimace,excellent
gross,exciting
grotesque,exquisite
gruesome,fabulous
guilty,fair
haggard,familiar
hard,famous
hard-hearted,fantastic
harmful,favorable
hate,fetching
hideous,fine
homely,fitting
horrendous,flourishing
horrible,fortunate
hostile,free
hurt,fresh
hurtful,friendly
icky,fun
ignorant,funny
ignore,generous
ill,genius
immature,genuine
imperfect,giving
impossible,glamorous
inane,glowing
inelegant,good
infernal,gorgeous
injure,graceful
injurious,great
insane,green
insidious,grin
insipid,growing
jealous,handsome
junky,happy
lose,harmonious
lousy,healing
lumpy,healthy
malicious,hearty
mean,heavenly
menacing,honest
messy,honorable
misshapen,honored
missing,hug
misunderstood,idea
moan,ideal
moldy,imaginative
monstrous,imagine
naive,impressive
nasty,independent
naughty,innovate
negate,innovative
negative,instant
never,instantaneous
no,instinctive
nobody,intellectual
nondescript,intelligent
nonsense,intuitive
not,inventive
noxious,jovial
objectionable,joy
odious,jubilant
offensive,keen
old,kind
oppressive,knowing
pain,knowledgeable
perturb,laugh
pessimistic,learned
petty,legendary
plain,light
poisonous,lively
poor,lovely
prejudice,lucid
questionable,lucky
quirky,luminous
quit,marvelous
reject,masterful
renege,meaningful
repellant,merit
reptilian,meritorious
repugnant,miraculous
repulsive,motivating
revenge,moving
revolting,natural
rocky,nice
rotten,novel
rude,now
ruthless,nurturing
sad,nutritious
savage,okay
scare,one
scary,one-hundred percent
scream,open
severe,optimistic
shocking,paradise
shoddy,perfect
sick,phenomenal
sickening,pleasant
sinister,pleasurable
slimy,plentiful
smelly,poised
sobbing,polished
sorry,popular
spiteful,positive
sticky,powerful
stinky,prepared
stormy,pretty
stressful,principled
stuck,productive
stupid,progress
substandard,prominent
suspect,protected
suspicious,proud
tense,quality
terrible,quick
terrifying,quiet
threatening,ready
ugly,reassuring
undermine,refined
unfair,refreshing
unfavorable,rejoice
unhappy,reliable
unhealthy,remarkable
unjust,resounding
unlucky,respected
unpleasant,restored
unsatisfactory,reward
unsightly,rewarding
untoward,right
unwanted,robust
unwelcome,safe
unwholesome,satisfactory
unwieldy,secure
unwise,seemly
upset,simple
vice,skilled
vicious,skillful
vile,smile
villainous,soulful
vindictive,sparkling
wary,special
weary,spirited
wicked,spiritual
woeful,stirring
worthless,stunning
wound,stupendous
yell,success
yucky,successful
zero,sunny
,super
,superb
,supporting
,surprising
,terrific
,thorough
,thrilling
,thriving
,tops
,tranquil
,transformative
,transforming
,trusting
,truthful
,unreal
,unwavering
,up
,upbeat
,upright
,upstanding
,valued
,vibrant
,victorious
,victory
,vigorous
,virtuous
,vital
,vivacious
,wealthy
,welcome
,well
,whole
,wholesome
,willing
,wonderful
,wondrous
,worthy
,wow
,yes
,yummy
,zeal
,zealous
